,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0,0001_01,1,0,2,1,39.0,0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False
1,0002_01,2,0,6,1,24.0,0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True
2,0003_01,1,0,1,1,58.0,1,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False
3,0003_02,1,0,1,1,33.0,0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False
4,0004_01,2,0,6,1,16.0,0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True
5,0005_01,2,0,6,2,44.0,0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True
6,0006_01,2,0,6,1,26.0,0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True
7,0006_02,2,1,7,1,28.0,0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True
8,0007_01,2,0,6,1,35.0,0,0.0,785.0,17.0,216.0,0.0,Andona Beston,True
9,0008_01,1,1,2,3,14.0,0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True
10,0008_02,1,1,2,1,34.0,0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True
11,0008_03,1,0,2,3,45.0,0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True
12,0009_01,3,0,6,1,32.0,0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True
13,0010_01,2,0,7,1,48.0,0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False
14,0011_01,2,0,6,1,28.0,0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True
15,0012_01,2,0,7,1,31.0,0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,False
16,0014_01,3,0,6,3,27.0,0,1286.0,122.0,0.0,0.0,0.0,Flats Eccle,False
17,0015_01,2,0,6,3,24.0,0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False
18,0016_01,3,1,6,1,45.0,0,0.0,0.0,0.0,0.0,0.0,Alus Upead,True
